Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
2016,Alabama,Limestone County,,0102100,2014-15,1693881,1691622,-2259,35348,1726970,259045.5,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Linden City,,0102130,2014-15,159778,161959,2181,13560,175519,26327.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lowndes County,,0102160,2014-15,468335,498437,30102,38756,537193,80578.95,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Macon County,,0102190,2014-15,515060,540385,25325,21060,561445,84216.75,3,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Madison County,,0102220,2014-15,3592629,3599901,7272,59358,3659259,548888.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Marengo County,,0102250,2014-15,286167,276759,-9408,5055,281814,42272.1,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Marion County,,0102310,2014-15,791075,801232,10157,13131,814363,122154.45,1,+,0,1,1,+,+,1,0,1,0,0,122154.45,15,0,+,0,52,4
2016,Alabama,Midfield City,,0102350,2014-15,285757,300920,15163,14464,315384,47307.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Mobile County,,0102370,2014-15,12647658,13324830,677172,312782,13637612,2045641.8,1,338586,100,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Monroe County,,0102400,2014-15,764514,768485,3971,25521,794006,119100.9,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Montgomery County,,0102430,2014-15,6494481,6847930,353449,182871,7030801,1054620.15,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Morgan County,,0102480,2014-15,1817118,1830101,12983,60728,1890829,283624.35,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Mountain Brook City,,0102490,2014-15,735567,746570,11003,16629,763199,114479.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Muscle Shoals City,,0102520,2014-15,473103,480283,7180,9344,489627,73444.05,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Oneonta City,,0102550,2014-15,269771,265518,-4253,13101,278619,41792.85,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Opelika City,,0102580,2014-15,937147,947585,10438,45731,993316,148997.4,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Opp City,,0102610,2014-15,293875,303161,9286,18642,321803,48270.45,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Oxford City,,0102635,2014-15,822834,831586,8752,17457,849043,127356.45,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Ozark City,,0102640,2014-15,562822,555914,-6908,24304,580218,87032.7,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Pell City,,0102650,2014-15,896314,898921,2607,24479,923400,138510,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Perry County,,0102670,2014-15,416953,425092,8139,10398,435490,65323.5,2,+,0,1,1,+,+,1,0,1,0,0,65323.5,15,0,+,0,27,3
2016,Alabama,Phenix City,,0102700,2014-15,1286414,1310694,24280,31744,1342438,201365.7,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Pickens County,,0102730,2014-15,668059,681809,13750,13825,695634,104345.1,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Piedmont City,,0102760,2014-15,269358,279315,9957,8143,287458,43118.7,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Pike County,,0102790,2014-15,560245,566468,6223,14395,580863,87129.45,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Randolph County,,0102820,2014-15,494480,501145,6665,18001,519146,77871.9,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Roanoke City,,0102850,2014-15,304344,314967,10623,5390,320357,48053.55,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Russell County,,0102880,2014-15,759031,753189,-5842,6946,760135,114020.25,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Russellville City,,0102910,2014-15,492480,499582,7102,19639,519221,77883.15,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Scottsboro City,,0102940,2014-15,595605,588104,-7501,11574,599678,89951.7,1,+,†,1,1,+,+,1,0,1,0,0,89951.7,15,0,+,0,45,0
2016,Alabama,Selma City,,0102970,2014-15,879719,935053,55334,40091,975144,146271.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Sheffield City,,0103000,2014-15,289543,286020,-3523,14504,300524,45078.6,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Shelby County,,0103030,2014-15,3691980,3745841,53861,76508,3822349,573352.35,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Saint Clair County,,0103062,2014-15,1705758,1708237,2479,34057,1742294,261344.1,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Sumter County,,0103090,2014-15,493919,502270,8351,35977,538247,80737.05,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Sylacauga City,,0103120,2014-15,474002,470835,-3167,9112,479947,71992.05,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Talladega City,,0103150,2014-15,522832,498532,-24300,18639,517171,77575.65,3,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Talladega County,,0103180,2014-15,1735310,1707079,-28231,39253,1746332,261949.8,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tallapoosa County,,0103210,2014-15,691123,684634,-6489,27682,712316,106847.4,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tallassee City,,0103240,2014-15,386050,381933,-4117,14530,396463,59469.45,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tarrant City,,0103270,2014-15,299026,310714,11688,13134,323848,48577.2,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Thomasville City,,0103300,2014-15,295523,286939,-8584,6249,293188,43978.2,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Troy City,,0103330,2014-15,470191,468756,-1435,16471,485227,72784.05,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tuscaloosa City,,0103360,2014-15,2208809,2337010,128201,106685,2443695,366554.25,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tuscaloosa County,,0103390,2014-15,3488847,3526439,37592,78614,3605053,540757.95,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Tuscumbia City,,0103420,2014-15,299253,298721,-532,23001,321722,48258.3,2,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Vestavia Hills City,,0103430,2014-15,1118295,1163464,45169,0,1163464,174519.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Walker County,,0103450,2014-15,1803472,1806929,3457,89481,1896410,284461.5,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Washington County,,0103480,2014-15,599522,596561,-2961,30089,626650,93997.5,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Wilcox County,,0103510,2014-15,465113,490536,25423,25532,516068,77410.2,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Winfield City,,0103540,2014-15,257580,260096,2516,9609,269705,40455.75,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Winston County,,0103580,2014-15,620654,602993,-17661,19005,621998,93299.7,3,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alaska,Alaska Gateway School District,,0200050,2015-16,130681,132215,1534,7681,139896,20984.4,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2016,Alaska,Aleutian Region School District,,0200010,2015-16,30916,31873,957,480,32353,4852.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2016,Alaska,Aleutians East Borough School District,,0200007,2015-16,46221,47992,1771,3360,51352,7702.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2016,Alaska,Anchorage School District,,0200180,2015-16,12474035,12857299,383264,324977,13182276,1977341.4,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
